placekey,location_name,lat,lng,id_num
222-222@63r-vf4-hqz,Burger King,38.7964,-77.1858,229
222-222@5sc-fj4-kcq,Burger King,43.0166,-88.0448,230
zzw-223@628-bvr-pd9,Burger King,40.6262,-75.4196,231
zzw-225@628-p7b-kpv,Burger King,40.0552,-75.0045,232
226-222@62k-p9b-j5f,Burger King,42.2102,-70.9592,233
226-222@5pn-6qr-p5f,Burger King,34.8162,-87.6625,234
22b-222@5sb-95h-59f,Burger King,42.267,-89.0787,235
228-222@63d-v8n-qcq,Burger King,40.8325,-81.3879,236
22b-222@628-w7w-p7q,Burger King,41.6955,-72.9096,237
229-222@5pw-689-hkf,Burger King,41.9294,-87.9784,238
zzw-222@5s4-5q2-jjv,Burger King,44.5203,-88.0662,239
223-222@63v-4rx-49z,Burger King,42.5753,-82.8881,240
223-222@63d-v8y-6hq,Burger King,40.7962,-81.4268,241
228-222@63v-46j-52k,Burger King,42.5336,-83.149,242
227-222@62j-t5x-7h5,Burger King,42.6292,-71.3215,243
226-222@63q-g56-bzf,Burger King,41.4631,-75.6528,244
zzw-222@62k-n4t-b6k,Burger King,41.3521,-72.0586,245
223-222@5q6-7cf-tn5,Burger King,39.8851,-104.978,246
222-222@5s7-5zq-vmk,Burger King,43.19,-86.2632,247
222-222@8gk-tsr-8qf,Burger King,33.4655,-86.8219,248
zzw-225@63d-5nr-qvf,Burger King,40.6002,-79.9476,249
222-222@63v-4r7-3dv,Burger King,42.4508,-82.9667,250
227-222@627-wj4-9vf,Burger King,40.6591,-74.2818,251
224-222@63s-dmn-jn5,Burger King,39.7346,-75.6365,252
224-222@5pw-5sq-sbk,Burger King,41.6822,-86.8938,253
222-222@63v-6v4-2ff,Burger King,41.3663,-82.0855,254
222-222@8gm-nfh-jd9,Burger King,34.0096,-85.9876,255
22b-222@5ps-jc3-wx5,Burger King,34.6755,-92.3397,256
223-222@5pw-c4v-hbk,Burger King,40.4532,-86.9224,257
zzy-222@628-rh3-7h5,Burger King,40.2389,-74.2764,258
22f-222@62k-jgp-hqz,Burger King,41.7814,-71.4412,259
zzw-222@5p2-2m9-pgk,Burger King,41.2986,-96.0049,260
222-222@628-g3m-xyv,Burger King,40.5788,-75.4551,261
zzw-222@5pw-9fg-vfz,Burger King,40.4766,-86.1117,262
zzy-222@628-nn2-99f,Burger King,39.3917,-74.532,263
224-222@63r-bnd-swk,Burger King,39.4365,-76.6246,264
224-222@63v-zvr-9xq,Burger King,43.0163,-82.4504,265
223-222@5sh-bf7-2c5,Burger King,43.595,-83.8508,266
225-222@5s5-pfj-tn5,Burger King,42.9715,-85.64,267
222-223@63v-4r8-9xq,Burger King,42.4894,-83.0279,268
zzw-222@63v-4hf-49z,Burger King,42.298,-83.2848,269
22b-222@63r-b52-st9,Burger King,39.353,-76.7558,270
222-222@63v-6mc-mhq,Burger King,41.3872,-81.8532,271
223-222@63r-bmb-jgk,Burger King,39.3997,-76.547,272
zzw-223@5p2-2mv-f75,Burger King,41.2881,-96.0528,273
223-222@8dy-5d4-rrk,Burger King,30.2145,-92.022,274
223-222@8dy-qv3-9xq,Burger King,29.966,-90.0876,275
223-222@8ts-zgh-66k,Burger King,33.4659,-111.92,276
zzw-222@665-tyr-2p9,Burger King,43.0479,-78.8768,277
222-222@5zb-xct-xbk,Burger King,33.5097,-112.109,278
222-222@63v-4c8-bff,Burger King,42.4622,-83.3699,279
224-222@62k-n35-66k,Burger King,41.514,-72.1063,280
222-222@5px-7d4-v9f,Burger King,38.194,-85.807,281
223-222@5zb-xcm-j7q,Burger King,33.4947,-112.034,282
225-222@627-vf4-qj9,Burger King,40.9843,-74.1373,283
224-22c@8gc-7n6-cwk,Burger King,32.8629,-79.9873,284
222-222@63t-y8f-xyv,Burger King,42.2427,-83.5958,285
222-222@5pj-24p-qzz,Burger King,38.5247,-90.3597,286
222-222@8gd-q22-6tv,Burger King,32.0051,-81.12,287
226-222@5sb-8gm-389,Burger King,42.0357,-87.9409,288
223-222@8fc-8fq-wp9,Burger King,29.7449,-94.9501,289
zzw-222@627-s6t-9s5,Burger King,40.8965,-74.0383,290
222-222@63v-47j-st9,Burger King,42.4507,-82.9377,291
222-222@63t-yvq-6zf,Burger King,42.2561,-83.241,292
223-222@665-tvj-9j9,Burger King,43.0878,-78.9793,293
zzw-224@63t-mmj-gff,Burger King,41.2335,-80.4707,294
222-222@8gf-r72-2tv,Burger King,35.5854,-82.602,295
223-222@8gn-jcz-ghq,Burger King,32.5054,-84.9735,296
223-222@63g-2qg-5cq,Burger King,36.0955,-79.4078,297
222-222@63t-yvh-h3q,Burger King,42.2826,-83.3699,298
222-222@5qw-t46-dvz,Burger King,32.8161,-96.8101,299
222-222@63d-5vy-v4v,Burger King,40.5426,-80.1919,300
22c-222@63s-dc7-fcq,Burger King,39.865,-75.4278,301
226-222@63r-bqz-jn5,Burger King,39.3117,-76.4678,302
222-222@63v-6vh-dy9,Burger King,41.4271,-82.1188,303
224-222@628-tcj-59f,Burger King,40.2445,-74.7344,304
224-222@627-vgw-cdv,Burger King,41.035,-74.0327,305
223-222@5s5-jtx-kpv,Burger King,42.9135,-85.6983,306
zzw-222@63v-4hs-gzf,Burger King,42.3564,-83.1971,307
zzw-222@63v-c9c-2x5,Burger King,41.0769,-81.4964,308
222-222@5qk-jnv-rrk,Burger King,40.4228,-104.725,309
227-222@63q-s8p-xdv,Burger King,42.9613,-78.6971,310
227-222@63j-rq9-7bk,Burger King,41.6957,-83.6356,311
226-222@62j-sjc-qcq,Burger King,42.2739,-71.0944,312
223-222@5pw-67j-8jv,Burger King,41.8293,-87.8026,313
222-222@5sb-cz8-r8v,Burger King,42.2577,-88.0028,314
223-222@5ny-fdd-xh5,Burger King,41.1468,-95.9141,315
223-222@8fc-9q6-rff,Burger King,29.8146,-95.4291,316
224-222@5q9-bnn-dqf,Burger King,39.7111,-105.053,317
226-222@628-pn2-pjv,Burger King,39.9533,-75.0622,318
226-222@63r-7g9-p5f,Burger King,38.6462,-77.2642,319
222-222@63j-rnq-h5z,Burger King,41.6538,-83.622,320
222-222@63s-b48-jgk,Burger King,40.0377,-76.2674,321
222-222@5pn-g84-nbk,Burger King,36.541,-87.3652,322
222-222@63v-8rz-m8v,Burger King,41.433,-82.7108,323
zzw-222@63s-dwr-fxq,Burger King,39.9694,-75.298,324
223-222@5ps-37r-52k,Burger King,35.0608,-89.9057,325
223-222@628-w3w-f9f,Burger King,41.807,-73.1118,326
223-222@5z6-43w-t35,Burger King,33.725,-117.989,327
222-222@63v-bdg-yn5,Burger King,41.477,-81.7701,328
224-222@63v-44g-fxq,Burger King,42.4475,-83.0775,329
223-222@63k-8w9-8d9,Burger King,40.7628,-84.1494,330
zzw-222@63d-kqr-d9z,Burger King,40.2692,-78.8571,331
229-222@8g9-xdx-rrk,Burger King,36.0224,-84.2452,332
222-222@63v-4f3-mc5,Burger King,42.4624,-83.2783,333
222-222@627-vtx-mp9,Burger King,40.6247,-74.1442,334
224-222@63s-d45-pqf,Burger King,40.2441,-75.6152,335
226-222@5q6-79r-3t9,Burger King,39.8282,-105.006,336
zzy-222@63p-vj3-pqf,Burger King,40.8003,-77.849,337
222-222@5z4-rgw-tgk,Burger King,33.94,-117.97,338
224-222@63k-2n2-vpv,Burger King,40.7593,-82.5619,339
222-222@63j-8qs-r6k,Burger King,39.1506,-84.6276,340
222-222@63f-f72-2ff,Burger King,37.4036,-79.167,341
222-222@63v-47j-st9,Burger King,42.4124,-82.9928,342
224-222@5z5-3js-t35,Burger King,34.0184,-118.111,343
224-222@5sb-8zn-9vf,Burger King,42.3159,-89.0749,344
223-222@627-w42-btv,Burger King,40.6294,-74.3076,345
224-222@627-xyt-c89,Burger King,40.7258,-73.4814,346
226-222@627-xrq-gkz,Burger King,40.7409,-73.3216,347
225-222@62j-sbz-zmk,Burger King,42.4887,-71.1004,348
zzw-222@63g-4cm-fvf,Burger King,36.1446,-80.3003,349
222-222@8gg-spd-kzz,Burger King,34.9265,-81.8782,350
223-222@63r-6t9-vj9,Burger King,39.0934,-76.8548,351
zzy-222@8g7-3z4-zpv,Burger King,33.7599,-84.4026,352
zzw-222@628-xjc-g8v,Burger King,41.482,-72.81,353
zzw-223@628-cvj-z9f,Burger King,40.3236,-75.1306,354
224-222@63t-yrn-b8v,Burger King,42.3258,-83.3206,355
222-222@63j-8zw-gff,Burger King,39.1824,-84.4266,356
224-222@627-w5g-wx5,Burger King,40.4016,-74.3104,357
zzw-222@628-rkb-xwk,Burger King,39.9756,-74.1578,358
222-222@8fc-fdg-vxq,Burger King,29.6691,-95.3566,359
225-222@62j-sj2-z2k,Burger King,42.3777,-71.0898,360
224-222@627-w5g-wx5,Burger King,40.4056,-74.2328,361
224-222@63v-b52-6tv,Burger King,41.5202,-81.454,362
222-222@63v-4c8-bff,Burger King,42.4086,-83.2766,363
222-222@646-y9w-9vf,Burger King,35.0432,-78.9581,364
225-222@63h-v9n-w6k,Burger King,39.7318,-82.6161,365
224-222@63h-j59-kmk,Burger King,39.7438,-84.1195,366
zzw-222@62k-3q7-9j9,Burger King,41.6522,-70.2894,367
222-222@63j-vsb-zpv,Burger King,40.0289,-82.4414,368
zzw-222@5px-8yx-w6k,Burger King,38.1499,-85.8374,369
228-222@62j-pss-xdv,Burger King,42.5568,-70.8806,370
226-222@5pk-nsp-3nq,Burger King,38.6871,-90.3606,371
22c-222@627-xz6-87q,Burger King,40.6747,-73.4866,372
zzy-223@65y-rzw-zvf,Burger King,42.7364,-73.762,373
222-222@63c-rhw-wrk,Burger King,39.97,-82.01,374
222-222@63d-qq7-rtv,Burger King,40.5097,-81.4518,375
223-222@62k-c36-bc5,Burger King,42.3352,-72.6364,376
223-222@63v-cb7-nbk,Burger King,41.0644,-81.5708,377
zzw-222@63v-6sx-qfz,Burger King,41.4502,-82.2025,378
225-222@627-xqv-92k,Burger King,40.7256,-73.2384,379
22c-222@63s-dc7-fcq,Burger King,39.7964,-75.4657,380
223-222@5py-nnf-4gk,Burger King,38.0471,-84.55,381
223-222@5z6-3kb-8qf,Burger King,33.8729,-118.119,382
222-222@8gn-gdd-dqf,Burger King,32.6052,-85.4801,383
225-222@5z6-3rt-m8v,Burger King,33.8375,-118.371,384
222-222@63r-bqt-bkz,Burger King,39.2856,-76.5067,385
223-222@5pj-5yg-5fz,Burger King,38.7249,-90.1229,386
224-222@63p-79n-2tv,Burger King,40.3387,-76.4474,387
zzw-222@63v-b9v-rx5,Burger King,41.4194,-81.6927,388
22p-222@63h-j55-7qz,Burger King,39.743,-84.1827,389
227-222@8f4-wyp-zj9,Burger King,30.4025,-88.9352,390
223-222@63v-c9v-tjv,Burger King,41.013,-81.6022,391
227-222@63t-wzk-249,Burger King,42.2554,-83.1392,392
22j-222@627-why-m8v,Burger King,40.7209,-74.2679,393
223-222@8f2-wyb-k9f,Burger King,32.5232,-92.0982,394
223-222@5pv-y6w-45f,Burger King,41.5493,-87.2405,395
222-223@63v-4m7-nwk,Burger King,42.5886,-83.0303,396
zzw-223@5z4-rxm-c5z,Burger King,33.8259,-117.941,397
222-222@63v-47j-st9,Burger King,42.4498,-83.0018,398
222-222@629-3r5-btv,Burger King,41.7734,-72.54,399
227-222@63r-48n-7h5,Burger King,38.981,-76.5275,400
226-222@5z5-3n9-z75,Burger King,33.9573,-118.039,401
225-222@5z6-3rt-m8v,Burger King,33.8999,-118.352,402
