unique_id,location_name,lat,lng
493,Burger King,43.6168,-84.7675
494,Burger King,40.7441,-73.9239
495,Burger King,42.2149,-83.5441
496,Burger King,42.3476,-71.5108
497,Burger King,41.1955,-73.141
498,Burger King,41.7382,-72.6683
499,Burger King,32.7931,-117.25399999999999
500,Burger King,41.2077,-96.0812
501,Burger King,40.8744,-73.4249
502,Burger King,42.148,-70.8453
503,Burger King,33.9597,-118.38
504,Burger King,41.1892,-96.0431
505,Burger King,41.217,-95.9468
506,Burger King,42.3498,-71.1024
507,Burger King,40.8015,-72.8651
508,Burger King,32.7427,-117.04700000000001
509,Burger King,40.9962,-73.6709
510,Burger King,33.873000000000005,-118.37899999999999
511,Burger King,36.0487,-79.8354
512,Burger King,32.9516,-117.06200000000001
513,Burger King,40.7632,-73.878
514,Burger King,34.0192,-118.47
515,Burger King,34.0188,-118.42200000000001
516,Burger King,42.4256,-71.0418
517,Burger King,33.9058,-84.2708
518,Burger King,40.7544,-73.8981
519,Burger King,40.7646,-73.8225
520,Burger King,32.9307,-96.8115
521,Burger King,30.006999999999998,-95.4641
522,Burger King,40.7386,-73.8855
523,Burger King,40.6758,-73.8667
524,Burger King,32.7179,-117.155
525,Burger King,34.0247,-118.286
526,Burger King,42.9476,-78.868
527,Burger King,40.9814,-73.829
528,Burger King,32.7936,-116.935
529,Burger King,39.6531,-104.99799999999999
530,Burger King,29.7064,-95.4059
531,Burger King,32.6081,-117.06700000000001
532,Burger King,42.9815,-78.8723
533,Burger King,42.9214,-78.7932
534,Burger King,29.6754,-95.5463
535,Burger King,32.917,-117.124
536,Burger King,47.6316,-122.146
537,Burger King,42.9595,-78.8142
538,Burger King,39.7187,-104.95100000000001
539,Burger King,37.4286,-121.91
540,Burger King,37.6945,-122.085
541,Burger King,42.2479,-71.0044
542,Burger King,37.9491,-122.33200000000001
543,Burger King,42.9298,-83.6324
544,Burger King,40.0726,-75.0336
545,Burger King,25.7633,-80.3095
546,Burger King,39.8119,-74.9843
547,Burger King,39.7853,-105.025
548,Burger King,33.8234,-84.1125
549,Burger King,42.5422,-83.7871
550,Burger King,27.8802,-82.8296
551,Burger King,27.9815,-82.4761
552,Burger King,29.1994,-81.0437
553,Burger King,29.8711,-95.333
554,Burger King,37.051,-76.4608
555,Burger King,40.8562,-74.0484
556,Burger King,40.235,-75.2901
557,Burger King,40.0726,-74.8524
558,Burger King,38.0082,-84.5181
559,Burger King,42.3501,-83.0339
560,Burger King,41.2126,-95.9887
561,Burger King,36.9301,-76.3176
562,Burger King,36.549,-82.5214
563,Burger King,39.8194,-76.9955
564,Burger King,41.1368,-81.355
565,Burger King,41.6735,-71.1611
566,Burger King,40.8112,-74.26
567,Burger King,40.685,-75.2504
568,Burger King,40.8417,-73.3057
569,Burger King,41.3848,-81.4355
570,Burger King,34.2892,-83.84100000000001
571,Burger King,29.6256,-95.2299
572,Burger King,42.369,-83.139
573,Burger King,40.1066,-85.65299999999999
574,Burger King,40.0866,-82.9716
575,Burger King,39.9214,-82.8795
576,Burger King,42.4736,-71.2129
577,Burger King,40.3255,-76.0163
578,Burger King,41.4544,-81.7929
579,Burger King,34.2012,-118.595
580,Burger King,34.2169,-118.449
581,Burger King,28.6579,-81.3439
582,Burger King,41.4056,-81.7347
583,Burger King,40.6903,-74.2914
584,Burger King,38.7748,-77.5027
585,Burger King,41.6059,-71.4554
586,Burger King,41.361000000000004,-72.1159
587,Burger King,40.7245,-73.5451
588,Burger King,41.4638,-81.8457
589,Burger King,41.2346,-75.9183
590,Burger King,29.7055,-95.4728
591,Burger King,34.2152,-118.38799999999999
592,Burger King,39.8095,-84.0266
593,Burger King,37.7334,-84.2974
594,Burger King,32.4159,-84.9434
595,Burger King,42.5168,-89.0382
596,Burger King,42.9651,-71.4468
597,Burger King,33.7002,-78.8744
598,Burger King,43.0884,-83.6941
599,Burger King,40.7459,-73.5994
600,Burger King,34.2354,-118.561
601,Burger King,39.6974,-75.7317
602,Burger King,33.504,-86.8073
603,Burger King,37.1287,-76.53699999999999
604,Burger King,42.2365,-70.9806
605,Burger King,36.8628,-76.4021
606,Burger King,30.3725,-88.5363
607,Burger King,40.5911,-74.0883
608,Burger King,40.8225,-74.0996
609,Burger King,33.9919,-80.9776
610,Burger King,37.2733,-79.8917
611,Burger King,42.0955,-88.0084
612,Burger King,40.8288,-73.4241
613,Burger King,39.93,-77.6399
614,Burger King,40.7052,-73.6517
615,Burger King,36.5587,-82.212
616,Burger King,40.7761,-73.0081
617,Burger King,36.7171,-79.911
618,Burger King,37.3133,-89.5509
619,Burger King,42.9605,-87.949
620,Burger King,41.2354,-80.8199
621,Burger King,41.8746,-87.976
622,Burger King,42.4964,-90.7203
623,Burger King,41.4061,-73.4191
624,Burger King,41.6024,-87.7925
625,Burger King,36.2651,-86.7114
626,Burger King,30.4638,-84.2849
627,Burger King,42.5481,-70.9431
628,Burger King,41.8918,-88.1055
629,Burger King,42.0065,-88.147
630,Burger King,33.9539,-80.3788
631,Burger King,41.7056,-71.4166
632,Burger King,41.4317,-81.5256
633,Burger King,31.5665,-84.1761
634,Burger King,40.0252,-83.0262
635,Burger King,40.6748,-76.2262
636,Burger King,41.9084,-87.6746
637,Burger King,40.931999999999995,-74.0257
638,Burger King,37.0308,-76.4212
639,Burger King,39.8313,-84.8425
640,Burger King,40.5517,-89.6085
641,Burger King,41.7918,-87.802
642,Burger King,42.8915,-85.6652
643,Burger King,43.0125,-85.6886
644,Burger King,40.5644,-74.1156
645,Burger King,30.1984,-93.2161
646,Burger King,30.4978,-91.1283
647,Burger King,32.5237,-92.6414
648,Burger King,29.6843,-91.2569
649,Burger King,29.9215,-95.4113
650,Burger King,40.5775,-74.2941
651,Burger King,39.9386,-82.8312
652,Burger King,41.4618,-81.6439
653,Burger King,33.5935,-101.87
654,Burger King,40.9701,-73.9539
655,Burger King,28.6064,-81.3945
656,Burger King,29.6907,-95.2256
657,Burger King,36.2125,-83.2898
658,Burger King,36.8374,-76.1797
659,Burger King,41.763000000000005,-87.9453
660,Burger King,42.2911,-85.5943
661,Burger King,41.5036,-81.6276
662,Burger King,39.8933,-83.0838
663,Burger King,36.8799,-89.57600000000001
664,Burger King,43.0828,-75.3262
665,Burger King,27.9896,-82.7299
666,Burger King,29.6224,-90.7488
667,Burger King,29.9728,-90.0488
668,Burger King,31.5497,-91.3459
669,Burger King,36.8603,-76.2097
670,Burger King,39.6375,-77.71
671,Burger King,43.0347,-70.7799
672,Burger King,44.0847,-70.2045
673,Burger King,41.4609,-81.7339
674,Burger King,30.3253,-81.5471
675,Burger King,30.6758,-88.1436
676,Burger King,42.2513,-84.384
677,Burger King,41.9587,-87.8074
678,Burger King,39.6381,-84.2253
679,Burger King,36.2025,-81.6565
680,Burger King,32.5172,-92.1574
681,Burger King,27.6367,-80.389
682,Burger King,40.593,-73.9325
683,Burger King,41.239,-75.8485
684,Burger King,43.6749,-70.3231
685,Burger King,35.0606,-89.9977
686,Burger King,32.7853,-79.9539
687,Burger King,33.6823,-78.8946
688,Burger King,41.4805,-87.6375
689,Burger King,41.5655,-87.559
690,Burger King,41.5184,-71.2999
691,Burger King,39.9577,-83.0389
692,Burger King,34.7243,-86.6274
693,Burger King,32.0292,-81.1111
694,Burger King,37.2409,-93.3011
695,Burger King,43.0179,-71.4491
696,Burger King,40.7656,-81.3821
697,Burger King,41.9543,-87.6631
698,Burger King,42.1066,-88.258
699,Burger King,40.8445,-74.2285
700,Burger King,40.8638,-74.3973
701,Burger King,40.8561,-74.6538
702,Burger King,40.4699,-74.4696
703,Burger King,40.8849,-74.2113
704,Burger King,40.8864,-74.53399999999999
705,Burger King,40.9923,-74.3662
706,Burger King,38.4057,-104.639
707,Burger King,41.6628,-87.6607
708,Burger King,41.7512,-87.6143
709,Burger King,33.5595,-86.7305
710,Burger King,45.4866,-122.785
711,Burger King,30.433000000000003,-91.0576
712,Burger King,37.5046,-77.5067
713,Burger King,33.668,-85.82700000000001
714,Burger King,42.7796,-71.4986
715,Burger King,38.019,-87.5742
716,Burger King,39.0776,-108.545
717,Burger King,43.6365,-70.3315
718,Burger King,30.4727,-87.2104
719,Burger King,36.8335,-76.3405
720,Burger King,35.7822,-83.5508
721,Burger King,41.7502,-87.7031
722,Burger King,34.7313,-80.777
723,Burger King,33.8703,-98.5362
724,Burger King,29.8326,-95.5031
725,Burger King,41.6497,-83.5213
726,Burger King,38.0732,-78.90100000000001
727,Burger King,37.1952,-77.376
728,Burger King,39.9052,-86.0589
729,Burger King,34.1923,-79.8086
730,Burger King,36.1005,-80.2289
731,Burger King,42.3753,-83.0768
732,Burger King,44.7641,-85.5963
733,Burger King,28.5534,-81.3364
734,Burger King,43.0961,-75.2425
735,Burger King,28.5862,-80.8021
736,Burger King,40.5977,-73.961
737,Burger King,31.5719,-84.1008
738,Burger King,41.4697,-81.7057
739,Burger King,42.3023,-71.403
740,Burger King,30.0035,-90.1523
741,Burger King,30.006,-90.194
742,Burger King,29.8126,-95.3169
743,Burger King,34.7447,-77.3794
744,Burger King,41.7219,-87.6203
745,Burger King,41.8505,-87.6239
746,Burger King,39.876999999999995,-88.9417
747,Burger King,42.446000000000005,-83.1653
748,Burger King,30.5885,-91.1679
749,Burger King,30.434,-91.1104
750,Burger King,38.1329,-79.0632
751,Burger King,33.5477,-101.92299999999999
752,Burger King,42.0399,-88.2806
753,Burger King,32.469,-84.9874
754,Burger King,42.2404,-89.0721
755,Burger King,28.3044,-81.4121
756,Burger King,41.0528,-83.6159
757,Burger King,44.1141,-70.2243
758,Burger King,37.4627,-77.4429
759,Burger King,30.2921,-97.7412
760,Burger King,42.224,-85.5893
761,Burger King,37.2908,-80.0711
762,Burger King,29.9789,-90.2254
763,Burger King,41.6929,-87.7011
764,Burger King,41.7335,-71.436
765,Burger King,42.9125,-85.5965
766,Burger King,34.513000000000005,-117.321
767,Burger King,41.5495,-87.4141
768,Burger King,33.9601,-118.301
769,Burger King,37.7262,-89.228
770,Burger King,41.6227,-87.5905
771,Burger King,41.4938,-75.5508
772,Burger King,39.9052,-79.738
773,Burger King,29.6594,-82.4084
774,Burger King,41.0106,-74.1195
775,Burger King,40.8973,-74.0988
